Coral species,Coral ID,Snail,Treatment,Colony ID,Image number,Live tissue,Dead tissue
Pocillopora,V-7 A V,Coralliophila,Ambient,Poc-7,4,5.964,0.918
Pocillopora,V-7 A V,Coralliophila,Ambient,Poc-7,5,8.597,0.114
Pocillopora,V-7 H V,Coralliophila,Heated,Poc-7,1,19.048,19.048
Pocillopora,V-7 H V,Coralliophila,Heated,Poc-7,2,9.525,9.525
Pocillopora,V-7 H V,Coralliophila,Heated,Poc-7,3,15.449,14.936
Pocillopora,V-7 H V,Coralliophila,Heated,Poc-7,4,11.054,11.054
Pocillopora,V-7 H V,Coralliophila,Heated,Poc-7,5,11.029,3.526
Pocillopora,V-9 A C,Control,Ambient,Poc-9,1,10.98,0
Pocillopora,V-9 A C,Control,Ambient,Poc-9,2,9.67,0.76
Pocillopora,V-9 A C,Control,Ambient,Poc-9,3,9.024,1.017
Pocillopora,V-9 A C,Control,Ambient,Poc-9,4,6.747,0.408
Pocillopora,V-9 A C,Control,Ambient,Poc-9,5,12.674,0.341
Pocillopora,V-9 A V,Coralliophila,Ambient,Poc-9,1,12.333,1.394
Pocillopora,V-9 A V,Coralliophila,Ambient,Poc-9,2,6.351,0.514
Pocillopora,V-9 A V,Coralliophila,Ambient,Poc-9,3,11.533,0
Pocillopora,V-9 A V,Coralliophila,Ambient,Poc-9,4,7.403,0
Pocillopora,V-9 A V,Coralliophila,Ambient,Poc-9,5,9.138,0
Pocillopora,V-9 H C,Control,Heated,Poc-9,1,7.332,0.621
Pocillopora,V-9 H C,Control,Heated,Poc-9,2,10.308,0.889
Pocillopora,V-9 H C,Control,Heated,Poc-9,3,6.721,0.202
Pocillopora,V-9 H C,Control,Heated,Poc-9,4,11.622,1.023
Pocillopora,V-9 H C,Control,Heated,Poc-9,5,7.489,1.017
Pocillopora,V-9 H V,Coralliophila,Heated,Poc-9,1,12.661,3.49
Pocillopora,V-9 H V,Coralliophila,Heated,Poc-9,2,10.195,5.377
Pocillopora,V-9 H V,Coralliophila,Heated,Poc-9,3,14.71,13.004
Pocillopora,V-9 H V,Coralliophila,Heated,Poc-9,4,8.026,6.35
Pocillopora,V-9 H V,Coralliophila,Heated,Poc-9,5,10.512,5.31
